"Country","HDI_Category","2016_Est_HDI","DPMean"
"Panama","High",0.788,5
"Qatar","Very High",0.856,5
"Brunei","Very High",0.865,5
"Lithuania","Very High",0.848,4.6
"Sri Lanka","High",0.766,4.4
"Ecuador","High",0.739,4.13333333333333
"Bulgaria","High",0.794,4.1
"Austria","Very High",0.893,4.06666666666667
"Slovenia","Very High",0.89,4
"Uruguay","High",0.795,3.93333333333333
"Finland","Very High",0.895,3.9
"Portugal","Very High",0.843,3.85714285714286
"Dominican Republic","High",0.722,3.8
"Kazakhstan","High",0.794,3.8
"Russia","Very High",0.804,3.8
